"","referrer","ate","se","se_syn"
"1","abington",0.235588235294117,0.460428807183281,0.460428807183281
"2","abington",0.235588235294117,0.460428807183281,0.460428807183281
"3","brasilia",0.172433035714286,0.380872662778142,0.380872662778142
"4","brasilia",0.172433035714286,0.380872662778142,0.380872662778142
"5","charles",0.0241596638655466,0.330083569641889,0.330083569641889
"6","charles",0.0241596638655466,0.330083569641889,0.330083569641889
"7","conncoll",0.374001774622893,0.367805686905086,0.367805686905086
"8","conncoll",0.374001774622893,0.367805686905086,0.367805686905086
"9","csun",0.0569908814589666,0.400977811407167,0.400977811407167
"10","csun",0.0569908814589666,0.400977811407167,0.400977811407167
"11","help",-0.392156862745098,0.351862458273803,0.351862458273803
"12","help",-0.392156862745098,0.351862458273803,0.351862458273803
"13","ithaca",1.14982269503546,0.372003926807341,0.372003926807341
"14","ithaca",1.14982269503546,0.372003926807341,0.372003926807341
"15","jmu",0.350000000000001,0.277830947806796,0.277830947806796
"16","jmu",0.350000000000001,0.277830947806796,0.277830947806796
"17","ku",-0.239890282131662,0.275754708545164,0.275754708545164
"18","ku",-0.239890282131662,0.275754708545164,0.275754708545164
"19","laurier",0.0446428571428577,0.382059024060968,0.382059024060968
"20","laurier",0.0446428571428577,0.382059024060968,0.382059024060968
"21","lse",0.380042016806723,0.234168015060763,0.234168015060763
"22","lse",0.380042016806723,0.234168015060763,0.234168015060763
"23","luc",0.235722554505113,0.301473017859955,0.301473017859955
"24","luc",0.235722554505113,0.301473017859955,0.301473017859955
"25","mcdaniel",0.287254901960784,0.365842033608669,0.365842033608669
"26","mcdaniel",0.287254901960784,0.365842033608669,0.365842033608669
"27","msvu",0.589052750992627,0.406476410151812,0.406476410151812
"28","msvu",0.589052750992627,0.406476410151812,0.406476410151812
"29","mturk",0.510231259712586,0.123126659907247,0.123126659907247
"30","mturk",0.510231259712586,0.123126659907247,0.123126659907247
"31","osu",-0.204632867132867,0.369191795110921,0.0820426211357602
"32","osu",-0.204632867132867,0.369191795110921,0.0820426211357602
"33","oxy",0.476571038251366,0.287545237266591,0.0638989416147981
"34","oxy",0.476571038251366,0.287545237266591,0.0638989416147981
"35","pi",0.29879554112971,0.106257346914658,0.023612743758813
"36","pi",0.29879554112971,0.106257346914658,0.023612743758813
"37","psu",0.494763814616756,0.345642546988019,0.0768094548862264
"38","psu",0.494763814616756,0.345642546988019,0.0768094548862264
"39","qccuny",-0.725492206726826,0.41599935143576,0.0924443003190578
"40","qccuny",-0.725492206726826,0.41599935143576,0.0924443003190578
"41","qccuny2",0.653415453527435,0.430546147305871,0.0956769216235269
"42","qccuny2",0.653415453527435,0.430546147305871,0.0956769216235269
"43","sdsu",0.539313271604938,0.290252799816894,0.0645006221815319
"44","sdsu",0.539313271604938,0.290252799816894,0.0645006221815319
"45","swps",0.594961240310077,0.390683790226853,0.0868186200504118
"46","swps",0.594961240310077,0.390683790226853,0.0868186200504118
"47","swpson",0.184120854157201,0.299471727988511,0.0665492728863359
"48","swpson",0.184120854157201,0.299471727988511,0.0665492728863359
"49","tamu",-0.169240448409975,0.289702170737798,0.0643782601639551
"50","tamu",-0.169240448409975,0.289702170737798,0.0643782601639551
"51","tamuc",-0.223108108108108,0.414703411356821,0.0921563136348492
"52","tamuc",-0.223108108108108,0.414703411356821,0.0921563136348492
"53","tamuon",0.545938454121806,0.229340911599461,0.0509646470221025
"54","tamuon",0.545938454121806,0.229340911599461,0.0509646470221025
"55","tilburg",-0.880421118793212,0.382684942167681,0.0850410982594847
"56","tilburg",-0.880421118793212,0.382684942167681,0.0850410982594847
"57","ufl",0.233928571428571,0.309238947320714,0.0687197660712697
"58","ufl",0.233928571428571,0.309238947320714,0.0687197660712697
"59","unipd",0.323491970231101,0.320163691761834,0.0711474870581854
"60","unipd",0.323491970231101,0.320163691761834,0.0711474870581854
"61","uva",0.0677409261576969,0.404306095140945,0.08984579892021
"62","uva",0.0677409261576969,0.404306095140945,0.08984579892021
"63","vcu",0.00179211469534124,0.397128368084241,0.0882507484631647
"64","vcu",0.00179211469534124,0.397128368084241,0.0882507484631647
"65","wisc",0.135258358662614,0.334951287027416,0.0744336193394258
"66","wisc",0.135258358662614,0.334951287027416,0.0744336193394258
"67","wku",-0.380530129672007,0.366455887202977,0.0814346416006615
"68","wku",-0.380530129672007,0.366455887202977,0.0814346416006615
"69","wl",0.0340178129638788,0.288454657045239,0.064101034898942
"70","wl",0.0340178129638788,0.288454657045239,0.064101034898942
"71","wpi",0.253983516483516,0.400357022650055,0.0889682272555677
"72","wpi",0.253983516483516,0.400357022650055,0.0889682272555677
